Callsign,Origin,Destination,Aircraft
,AHU,MEK,AT76
,CVJ,MEX,A21N
,PMF,MEB,Unknown
,RZN,LED,A319
,LBY,IDY,FA20
,AGA,SFO,B77W
,GOT,VLC,E190
,SOB,IXJ,A359
,KSF,GHF,P28R
,OXF,JER,BE20
,LCA,LTN,E550
,IOA,LGW,A20N
,CDD,BQH,FA8X
,OPO,RKE,E295
,DMK,KRK,B788
,WAW,KRK,B38M
,SEZ,PRI,A343
,DWC,JNB,B738
,FCO,CRA,A21N
,QPG,CGK,GLEX
,BRS,VLC,B38M
,CDP,ESB,B38M
,XXN,RUH,A320
,ELT,XXN,A20N
,GMP,TAE,BCS3
,ICN,SEA,B772
,RSU,PUS,B738
,KAG,YGJ,A333
,GMP,MWX,B738
,DLC,CNI,A333
,HDG,SJW,B738
,SZX,MEL,A332
,CAN,SZX,B738
,SZX,ZUH,E190
,FUO,SZB,B38M
,MFM,SZX,A320
,GAW,HUZ,B38M
,CTN,CNS,DH8D
,PER,YLG,F100
,JAD,CIE,PC12
,NSO,SIX,DH8D
,BNE,TAN,SF34
,SHJ,QZD,A359
,DEL,BLR,A21N
,CTS,QGU,A320
,HKD,MMB,B737
,HND,CTS,A359
,TKS,HND,B763
,AXJ,HIJ,B738
,ITM,KCZ,B788
,FUK,ITM,DH8D
,HND,LAX,B789
,OTP,LUH,A359
,CIA,REC,Unknown
,PWK,PTK,GLF5
,BOS,UKN,BCS1
,TRM,YVR,H25B
,MIQ,HSH,C56X
,BOS,EWR,B752
,AMK,TEX,T206
,MGE,GCK,HDJT
,FTW,CLL,CL60
,MEM,LAA,B763
,IFP,BLD,M20P
,MIA,OPF,B738
,HSH,SNA,E135
,CHC,DEC,B788
,TEB,PBI,G280
,ONL,LXS,B788
,LAS,FAT,A319
,DTW,DFW,A319
,ISJ,GCW,A320
,MCO,VHN,A20N
,MGR,SUM,PA31
,IND,POP,B738
,BNA,LVM,SF50
,MSO,DAL,C25B
,BUR,SBP,E75L
,CRW,GMU,M20P
,EVW,JAC,SR22
,MEM,ATL,A339
,NIR,MWL,C185
,BTF,GCT,T210
,PWY,MUG,A320
,RNC,FXE,C501
,LAS,DTW,B738
,JAX,LUK,CL30
,SIG,HWO,C425
,CPM,TOA,SLG2
,TEB,MDW,C56X
,CHA,MGE,M20P
,HIF,OGD,CRER
,LAL,LZU,MU2
,ISM,OPF,SR22
,CCG,LEE,B739
,TEB,HPN,E50P
,GRR,PHL,A21N
,SDF,CMH,E170
,NEW,AAF,SR22
,OKC,MNN,B752
,JST,AGC,P28A
,WPO,DFW,CRJ7
,COA,LAX,CRJ7
,MSC,CLR,P28A
,MTP,BIS,B772
,MEX,ICN,B788
,ACT,CNW,P06T
,FLL,MCN,C56X
,GIF,KYO,P32R
,BUF,LRU,B738
,SBO,YVR,C700
,GXY,STK,AS50
,PLS,ORD,B738
,IAD,IAH,E75L
,MCI,OMA,B38M
,PJB,DVT,PA24
,BNA,MDW,B38M
,TVL,CSN,C82S
,MXO,LAX,B738
,BEC,MEM,C182
,APG,BFI,B190
,LDY,HHN,C17
,ZUC,HSH,A320
,WRE,AKL,CJ6
,TRG,HLZ,B06
,PSW,SAO,Unknown
,GRU,CGH,B738
,SAO,CGH,Unknown
,VDC,TFL,B738
,FLL,CGH,E545
,CWB,GIG,B350
,POJ,PPB,A21N
,SAO,RAO,DA62
,SCL,MIA,B788
,EDF,BGQ,Unknown
,FTW,AFW,Unknown
,FLL,FXE,Unknown
,TMB,OPF,Unknown
,MYV,MCC,Unknown
,YWH,SSW,Unknown
,SYD,OCN,Unknown
,JAC,FRG,GLF6
,CUN,ISJ,PA34
,SVO,IAR,A321
,MAD,TLV,A21N
,MAD,GRX,CRJX
,CDG,SCQ,B77W
,BLL,DUS,E190
,CDG,ORB,B738
,ZAD,KLX,A35K
,MRS,NTE,B738
,KUT,RZV,A359
,SIR,BQH,C25C
,CDG,HEL,B738
,LIL,ANR,C25C
,BGO,RVK,E290
,WAW,DUS,B38M
,FMO,NUE,CL35
,OPO,CAT,E55P
,LTN,BMA,E55P
,MZW,YQB,A21N
,MQN,OSL,B738
,ZRH,DWC,CL60
,IST,PSD,A359
,BOJ,MXP,A21N
,ESB,IST,C680
,LUX,IAH,B748
,CTA,NSY,DA42
,BGY,STN,B38M
,PYG,BKK,A319
,MCT,SUH,B38M
,PUS,CHF,BCS3
,TSN,KUV,A333
,ICN,SIN,A333
,RNJ,KIX,B738
,TTJ,SYD,A333
,LXS,BOS,B788
,KUL,LBU,B738
,MNL,MBO,A320
,YCQ,CVG,B77L
,SIN,PKX,A359
